E,H_max_m,N,abut_in_parcel,cfrd_infeasible_m,cfrd_toe_ds_m,crest_ft,cut_over_need_cfrd,cut_over_need_rcc,dam_len_m,deep_cut_Mm3,deep_floor_ft,deep_gross_Mm3,deep_net_cfrd_Mm3,deep_net_rcc_GWh,deep_net_rcc_Mm3,fill_cfrd_Mm3,fill_rcc_Mm3,gross_Mm3,head_m,net_cfrd_GWh,net_cfrd_Mm3,net_rcc_GWh,net_rcc_Mm3,nwl_ft,pit_top_acre,rcc_infeasible_m,rcc_toe_ds_m,site,spill,valley_grade_tan,water_acre,water_out_acre,wedge_cfrd_Mm3,wedge_rcc_Mm3,z_floor_ft,curve
686378.0,67.71526645236531,4356014.0,False,0.0,-190.0,4100.0,0.07381674110596147,0.19864910099242997,617.0,0.14218087702569393,3930.0,2.1380685283411287,1.383966454694593,2.437148631375078,2.054813162668514,2.311359860575769,0.7952653772985925,1.9958876513154349,512.0640000000001,1.4728424345631348,1.2417855776688993,2.268512408799557,1.9126322856428202,4080.0,3.0241498958060427,0.0,-82.0,30,False,0.40744500871706274,21.298507039417913,4.316931014231378,0.7541020736465355,0.08325536567261471,3877.8370523216363,4030:0.01:2.00;3980:0.07:2.06;3930:0.14:2.14;3880:0.18:2.17;3830:0.18:2.18;3780:0.18:2.18;3730:0.18:2.18;3680:0.18:2.18;3630:0.18:2.18;3580:0.18:2.18;3530:0.18:2.18;3480:0.18:2.18;3430:0.18:2.18
686622.0,38.32764441596214,4356138.0,True,0.0,-79.0,3950.0,,,146.0,,,,,,,0.15157096287031685,0.059257115927634725,0.10232473622460968,466.34400000000005,0.058994682531269396,0.054616144966748124,0.10155009240537509,0.09401312678068739,3930.0,,0.0,-43.0,6,False,0.22225390596749245,2.27435793102379,0.0,0.04770859125786155,0.008311609443922277,3824.2531351182342,
686622.0,53.56764441596215,4356138.0,True,0.0,-119.0,4000.0,,,226.0,,,,,,,0.37303891266266664,0.14084980198507976,0.3301992364404306,481.584,0.22537824814534424,0.20204798185177997,0.3484771450135111,0.31240416699859985,3980.0,,0.0,-56.0,6,False,0.22225390596749245,5.514156587439794,0.042007914849418106,0.1281512545886506,0.01779506944183075,3824.2531351182342,
686622.0,68.80764441596216,4356138.0,True,0.0,-158.0,4050.0,0.0793509421193144,0.20646848124377531,513.0,0.073106412640727,3930.0,0.8911268143633854,0.5518040534283957,0.9729434935516794,0.8454727579518653,1.1055658928026646,0.3934225063760645,0.8180204017226583,496.824,0.5508702091255521,0.4786976407876687,0.8888149301571517,0.7723663453111383,4030.0,2.0061520478913066,0.0,-71.0,6,False,0.22225390596749245,10.352232851185425,1.227125324365943,0.3393227609349896,0.04565405641151997,3824.2531351182342,3980:0.01:0.83;3930:0.07:0.89;3880:0.10:0.92;3830:0.11:0.93;3780:0.11:0.93;3730:0.11:0.93;3680:0.11:0.93;3630:0.11:0.93;3580:0.11:0.93;3530:0.11:0.93;3480:0.11:0.93;3430:0.11:0.93;3380:0.11:0.93
686622.0,84.04764441596217,4356138.0,False,0.0,-196.0,4100.0,0.10507424540889858,0.2873856008430587,613.0,0.18982036187851664,3930.0,2.114533026956647,1.433903598550953,2.4162816337442883,2.037219741879513,2.1678426846444836,0.7338972884501984,1.92471266507813,512.0640000000001,1.47556761493358,1.2440832366724364,2.191141731214873,1.8473993800009965,4080.0,3.8004130247357626,0.0,-86.0,6,False,0.22225390596749245,20.618473029620276,4.4409779157278955,0.6806294284056937,0.07731328507713359,3824.2531351182342,4030:0.01:1.93;3980:0.08:2.01;3930:0.19:2.11;3880:0.24:2.17;3830:0.26:2.18;3780:0.26:2.18;3730:0.26:2.18;3680:0.26:2.18;3630:0.26:2.18;3580:0.26:2.18;3530:0.26:2.18;3480:0.26:2.18;3430:0.26:2.18
686358.0,39.962785542806614,4356138.0,True,0.0,-109.0,3850.0,,,146.0,,,,,,,0.17805593024961014,0.06683142201390459,0.06785433954589852,435.86400000000003,0.02273271590344093,0.022517226273178866,0.059720912598025686,0.059154801736951076,3830.0,,0.0,-49.0,13,False,0.32568847703243287,1.425798051065544,0.0,0.04533711327271965,0.00869953780894744,3718.888498875306,
686358.0,55.20278554280662,4356138.0,True,0.0,-156.0,3900.0,,,200.0,,,,,,,0.43279879364356566,0.15356865479645002,0.19963488184765657,451.10400000000004,0.08803595507801183,0.0842554436532502,0.19005971077981032,0.18189801244470102,3880.0,,0.0,-64.0,13,False,0.32568847703243287,2.918808765890157,0.0,0.11537943819440637,0.017736869402955536,3718.888498875306,
686358.0,70.44278554280663,4356138.0,True,0.0,-183.0,3950.0,,,467.0,,,,,,,1.2085294278931091,0.40748090468802123,0.6063089796425792,466.34400000000005,0.3095649096848142,0.28658925276871566,0.6059231617595617,0.5609520353606439,3930.0,,0.0,-82.0,13,False,0.32568847703243287,8.244423947270505,0.0,0.3197197268738635,0.045356944281935284,3718.888498875306,
686358.0,85.68278554280664,4356138.0,True,0.0,-222.0,4000.0,,,540.0,,,,,,,2.3033086005869787,0.7486818714159974,1.2982128550527368,481.584,0.7589553969223183,0.6803913311313879,1.3653084452633697,1.223977106223477,3980.0,,0.0,-97.0,13,False,0.32568847703243287,14.620978316030705,0.042007914849418106,0.6178215239213488,0.07423574882925965,3718.888498875306,
686750.0,42.78052320692359,4356082.0,False,0.0,-115.0,4100.0,,,292.0,,,,,,,0.5384822769062206,0.19353320445985595,0.3912297279814468,512.0640000000001,0.2372660782027511,0.20004420504738507,0.43246516284944625,0.36462081039236516,4080.0,,0.0,-54.0,51,False,0.2914572476360225,6.012815247240534,3.0586704118005725,0.1911855229340617,0.0266089175890816,3959.6439527331904,
