site,E,N,z_floor_ft,acc_ha,valley_grade_tan,ux,uy,vx,vy,crest_ft,nwl_ft,H_max_m,abut_L,abut_R,dam_len_m,fill_cfrd_Mm3,fill_rcc_Mm3,gross_Mm3,water_acre,water_out_acre,spill,abut_in_parcel,eff_cfrd,head_m
2,686426.0,4356306.0,3587.7371182000848,28.7072,0.2495263023168036,-0.7482029277778399,-0.6634699532493302,0.9486832980505138,-0.31622776601683794,3800.0,3780.0,64.69772637261417,198.0,106.0,304.0,1.0816048156673121,0.34251021039887447,0.49841080310351576,6.693590573182575,0.0,False,True,0.4608067529692107,420.624
2,686426.0,4356306.0,3587.7371182000848,28.7072,0.2495263023168036,-0.7482029277778399,-0.6634699532493302,0.9486832980505138,-0.31622776601683794,3850.0,3830.0,79.93772637261418,220.0,268.0,488.0,1.9613118814921917,0.6122110232348353,1.0409705004306646,11.113811636867228,0.0,False,True,0.5307521512788067,435.86400000000003
2,686426.0,4356306.0,3587.7371182000848,28.7072,0.2495263023168036,-0.7482029277778399,-0.6634699532493302,0.9486832980505138,-0.31622776601683794,3900.0,3880.0,95.17772637261419,242.0,474.0,716.0,3.3053743710550805,1.0226039282035102,2.038758315165041,19.94239270592611,0.0,False,True,0.6168010295651521,451.10400000000004
3,686454.0,4356286.0,3624.7625515043105,27.3936,0.30665929144806037,-0.8682545587839927,-0.49611895866900146,0.8637789008984335,-0.5038710255240862,3750.0,3730.0,38.172374301486116,188.0,58.0,246.0,0.33893015422191675,0.11168288874001271,0.09602260011230467,2.431516953636907,0.0,False,True,0.28331087959035134,405.384
3,686454.0,4356286.0,3624.7625515043105,27.3936,0.30665929144806037,-0.8682545587839927,-0.49611895866900146,0.8637789008984335,-0.5038710255240862,3800.0,3780.0,53.412374301486125,210.0,82.0,292.0,0.8192268059926496,0.2573787001764512,0.33013488380371103,5.297939378656025,0.0,False,True,0.40298349784061277,420.624
3,686454.0,4356286.0,3624.7625515043105,27.3936,0.30665929144806037,-0.8682545587839927,-0.49611895866900146,0.8637789008984335,-0.5038710255240862,3850.0,3830.0,68.65237430148613,232.0,124.0,356.0,1.5688247066934489,0.47989201079767924,0.7766091026816412,9.354421320821011,0.0,False,True,0.4950260531773943,435.86400000000003
3,686454.0,4356286.0,3624.7625515043105,27.3936,0.30665929144806037,-0.8682545587839927,-0.49611895866900146,0.8637789008984335,-0.5038710255240862,3900.0,3880.0,83.89237430148614,254.0,308.0,562.0,2.69563611306306,0.8152315891824748,1.5090819175341814,14.747249165960428,0.0,False,True,0.5598240468070472,451.10400000000004
3,686454.0,4356286.0,3624.7625515043105,27.3936,0.30665929144806037,-0.8682545587839927,-0.49611895866900146,0.8637789008984335,-0.5038710255240862,3950.0,3930.0,99.13237430148615,276.0,350.0,626.0,4.337066171331111,1.2969379572741235,2.682760964314456,23.259535346741337,0.0,False,True,0.6185658365205611,466.34400000000005
3,686454.0,4356286.0,3624.7625515043105,27.3936,0.30665929144806037,-0.8682545587839927,-0.49611895866900146,0.8637789008984335,-0.5038710255240862,4000.0,3980.0,114.37237430148616,304.0,450.0,754.0,6.577411772968683,1.949670974323597,4.435023678636725,34.136125817400085,1.0714489340416289,False,False,0.6742809834201696,481.584
4,686478.0,4356262.0,3660.0367478498283,26.9488,0.31733875946356044,-0.843489400804617,-0.5371458188706937,0.7371541402007414,-0.6757246285173463,3800.0,3780.0,42.66079925537224,214.0,66.0,280.0,0.3851331770143871,0.12570128508346595,0.07931425375585942,1.684270280080199,0.0,False,True,0.2059398111861356,420.624
4,686478.0,4356262.0,3660.0367478498283,26.9488,0.31733875946356044,-0.843489400804617,-0.5371458188706937,0.7371541402007414,-0.6757246285173463,3850.0,3830.0,57.90079925537225,236.0,98.0,334.0,0.932642374968574,0.29121715152191063,0.4216430990390629,6.567072617871386,0.0,False,True,0.45209515496577174,435.86400000000003
4,686478.0,4356262.0,3660.0367478498283,26.9488,0.31733875946356044,-0.843489400804617,-0.5371458188706937,0.7371541402007414,-0.6757246285173463,3900.0,3880.0,73.14079925537226,260.0,290.0,550.0,1.8099957406164775,0.5523547380169529,0.9642865984863292,11.268005394902739,0.0,False,True,0.5327562804970452,451.10400000000004
4,686478.0,4356262.0,3660.0367478498283,26.9488,0.31733875946356044,-0.843489400804617,-0.5371458188706937,0.7371541402007414,-0.6757246285173463,3950.0,3930.0,88.38079925537227,286.0,332.0,618.0,3.169328445814783,0.9540659345459692,1.8694737914443385,18.637676291779478,0.0,False,True,0.5898643272246045,466.34400000000005
4,686478.0,4356262.0,3660.0367478498283,26.9488,0.31733875946356044,-0.843489400804617,-0.5371458188706937,0.7371541402007414,-0.6757246285173463,4000.0,3980.0,103.62079925537228,314.0,434.0,748.0,5.116224991874541,1.5222310391243221,3.3184333538261765,28.814464322123214,0.8302740817296755,False,False,0.6486097384490379,481.584
5,686506.0,4356246.0,3690.7375766223468,26.2816,0.30735321044921876,-0.9196152422706632,-0.3928203230275511,0.8,-0.6,3800.0,3780.0,33.30318664550873,232.0,56.0,288.0,0.29187662465505754,0.09741035509168121,0.03438385634277346,0.9686530953512881,0.0,False,True,0.11780270648055018,420.624
5,686506.0,4356246.0,3690.7375766223468,26.2816,0.30735321044921876,-0.9196152422706632,-0.3928203230275511,0.8,-0.6,3850.0,3830.0,48.54318664550874,256.0,84.0,340.0,0.7746506395673498,0.24593042860199105,0.3166689691318363,5.479808939415858,0.0,False,True,0.4087893986748647,435.86400000000003
5,686506.0,4356246.0,3690.7375766223468,26.2816,0.30735321044921876,-0.9196152422706632,-0.3928203230275511,0.8,-0.6,3900.0,3880.0,63.78318664550875,278.0,118.0,396.0,1.5679637976592733,0.48272703684962925,0.784751922798829,9.907937375307462,0.0,False,True,0.5004910980536298,451.10400000000004
5,686506.0,4356246.0,3690.7375766223468,26.2816,0.30735321044921876,-0.9196152422706632,-0.3928203230275511,0.8,-0.6,3950.0,3930.0,79.02318664550876,302.0,200.0,502.0,2.7247285893187607,0.8230357614049988,1.5637695288916034,15.656596969759596,0.0,False,True,0.5739175399053521,466.34400000000005
5,686506.0,4356246.0,3690.7375766223468,26.2816,0.30735321044921876,-0.9196152422706632,-0.3928203230275511,0.8,-0.6,4000.0,3980.0,94.26318664550877,330.0,350.0,680.0,4.371676011707279,1.307199035903937,2.7675240332841837,23.832819831745162,0.05139791934517039,False,False,0.6330578995041715,481.584
6,686534.0,4356230.0,3720.4736368619274,25.5504,0.2870837683554176,-0.8682545587839927,-0.49611895866900146,0.8637789008984335,-0.5038710255240862,3850.0,3830.0,39.47963548448456,266.0,68.0,334.0,0.3668427725098334,0.12236598252314988,0.06858027355175791,1.7079923967010469,0.0,False,True,0.18694732100772024,435.86400000000003
6,686534.0,4356230.0,3720.4736368619274,25.5504,0.2870837683554176,-0.8682545587839927,-0.49611895866900146,0.8637789008984335,-0.5038710255240862,3900.0,3880.0,54.71963548448457,292.0,98.0,390.0,0.9250127577007006,0.2954624934448418,0.3879977132900397,6.51962838462969,0.0,False,True,0.4194512022239386,451.10400000000004
6,686534.0,4356230.0,3720.4736368619274,25.5504,0.2870837683554176,-0.8682545587839927,-0.49611895866900146,0.8637789008984335,-0.5038710255240862,3950.0,3930.0,69.95963548448458,316.0,170.0,486.0,1.829275097579096,0.5679605358576871,0.9423662380839859,11.754308785630121,0.0,False,True,0.5151582937586231,466.34400000000005
6,686534.0,4356230.0,3720.4736368619274,25.5504,0.2870837683554176,-0.8682545587839927,-0.49611895866900146,0.8637789008984335,-0.5038710255240862,4000.0,3980.0,85.19963548448459,344.0,330.0,674.0,3.210090986417107,0.9824806691190312,1.8872887406279328,19.365154534818814,0.05139791934517039,False,False,0.5879237531314963,481.584
6,686534.0,4356230.0,3720.4736368619274,25.5504,0.2870837683554176,-0.8682545587839927,-0.49611895866900146,0.8637789008984335,-0.5038710255240862,4050.0,4030.0,100.4396354844846,378.0,372.0,750.0,5.182417484331036,1.565780669214415,3.431394584142584,30.431521938444344,2.3998874648091095,False,False,0.6621223771564827,496.824
7,686282.0,4356662.0,3426.4231743288296,24.3584,0.5082980184893169,-0.5701923743452474,-0.8215112027468215,0.9965457582448796,-0.08304547985373997,3550.0,3530.0,37.6662164645727,230.0,64.0,294.0,1.442837355171011,0.35060758094227606,0.49679673324267465,6.891274878356307,0.0,False,True,0.34431928967058956,344.42400000000004
7,686282.0,4356662.0,3426.4231743288296,24.3584,0.5082980184893169,-0.5701923743452474,-0.8215112027468215,0.9965457582448796,-0.08304547985373997,3600.0,3580.0,52.90621646457271,252.0,88.0,340.0,2.66124773180698,0.6320809992982128,1.0668587646000962,11.655466633043254,0.0,False,True,0.4008866787744341,359.66400000000004
7,686282.0,4356662.0,3426.4231743288296,24.3584,0.5082980184893169,-0.5701923743452474,-0.8215112027468215,0.9965457582448796,-0.08304547985373997,3650.0,3630.0,68.14621646457272,274.0,116.0,390.0,4.3915939064060945,1.0268954875001328,1.964832163997557,17.716467429669887,0.0,False,True,0.4474075258031992,374.904
7,686282.0,4356662.0,3426.4231743288296,24.3584,0.5082980184893169,-0.5701923743452474,-0.8215112027468215,0.9965457582448796,-0.08304547985373997,3700.0,3680.0,83.38621646457273,298.0,156.0,454.0,6.691377697570343,1.5477846451826711,3.281629144382323,25.343127923272476,0.0,False,True,0.49042652988694563,390.144
7,686282.0,4356662.0,3426.4231743288296,24.3584,0.5082980184893169,-0.5701923743452474,-0.8215112027468215,0.9965457582448796,-0.08304547985373997,3750.0,3730.0,98.62621646457274,322.0,206.0,528.0,9.661090843151792,2.217438319208975,5.14848130266748,35.89551613344631,0.0,False,True,0.5329089008946595,405.384
8,686314.0,4356662.0,3477.5748938435045,24.048,0.4721866253315284,-0.5701923743452474,-0.8215112027468215,0.9965457582448796,-0.08304547985373997,3600.0,3580.0,37.315172356499716,264.0,66.0,330.0,1.5953949596477908,0.41535979106902665,0.792020296158202,9.631179348064236,0.0,False,True,0.49644151836423833,359.66400000000004
8,686314.0,4356662.0,3477.5748938435045,24.048,0.4721866253315284,-0.5701923743452474,-0.8215112027468215,0.9965457582448796,-0.08304547985373997,3650.0,3630.0,52.555172356499725,286.0,94.0,380.0,2.864048214360196,0.7306012478547805,1.555567508599608,15.383792628619846,0.0,False,True,0.5431359363295873,374.904
