station,E,N,z_ground_ft,H_axis,slope_us_deg,slope_ds_deg,rcc_area,rcc_toe_us,rcc_toe_ds,rcc_base,rcc_Hmax,rcc_us_wedge,rcc_closes,cfrd_area,cfrd_toe_us,cfrd_toe_ds,cfrd_base,cfrd_Hmax,cfrd_us_wedge,cfrd_closes,ecrd_area,ecrd_toe_us,ecrd_toe_ds,ecrd_base,ecrd_Hmax,ecrd_us_wedge,ecrd_closes,rockfill_area,rockfill_toe_us,rockfill_toe_ds,rockfill_base,rockfill_Hmax,rockfill_us_wedge,rockfill_closes
248.37213515512303,685949.6537765109,4356119.479963875,3700.0022484623464,128.01531466867687,28.211675505846575,32.26433321724331,13716.507746517214,4.0,-192.0,196.0,129.88209452818478,484.2274389712634,True,48783.93169419654,106.0,-440.0,546.0,131.06079318606567,6891.533016117706,True,68844.42241300488,133.0,-522.0,655.0,150.34607513258106,8252.229276706783,True,59140.196033576714,116.0,-498.0,614.0,131.06079318606567,7382.178232519785,True
258.35445632696025,685951.4441288172,4356129.30042082,3700.8962733150674,127.74281589356747,28.468387998047252,31.38450305628797,13868.366635071356,4.0,-208.0,212.0,129.37587940560752,482.80500420610747,True,53082.35762479766,105.0,-469.0,574.0,130.4574446554343,6817.642464018305,True,74208.48628049676,129.0,-539.0,668.0,148.0618768454151,8114.102886996374,True,64028.14644943882,113.0,-510.0,623.0,130.4574446554343,7290.479038992912,True
268.2918287957303,685953.4739711449,4356139.0282731885,3700.220993388136,127.94864121529622,27.820939039648263,31.41202308749745,13991.991372967253,4.0,-208.0,212.0,129.75909818385003,483.9188771874692,True,57118.53952322542,106.0,-491.0,597.0,130.94758633519768,6889.260856413175,True,80356.2396869824,129.0,-578.0,707.0,169.93143829322844,8200.593505264116,True,68950.86466057034,114.0,-532.0,646.0,143.47310495989518,7372.652940693076,True
278.2755703149407,685958.9391057084,4356147.38335541,3703.121458018072,127.06457959609156,26.547421747788295,31.31318064055904,14006.912019947686,4.0,-206.0,210.0,128.9586952396428,480.21790093297227,True,53513.29463902702,108.0,-550.0,658.0,130.20116704242787,6875.4892825609495,True,81753.24924739612,130.0,-627.0,757.0,142.55272017161042,8227.458068317921,True,68233.33546150348,116.0,-592.0,708.0,130.55884162317977,7375.034627895429,True
288.2593118340874,685964.4042402718,4356155.738437631,3703.1492004262136,127.0561237100901,27.944981796637308,31.933803791927836,13921.734033736966,4.0,-199.0,203.0,128.84304427051893,479.9720922098081,True,52092.047067547566,105.0,-552.0,657.0,130.00069518823034,6680.599438010398,True,80512.41370204718,129.0,-630.0,759.0,139.70538041679333,7979.989688178931,True,66930.40286255181,114.0,-594.0,708.0,130.6776026390155,7157.362865456493,True
298.2430533532978,685969.8693748353,4356164.0935198525,3702.9852219009604,127.10610436458728,29.165252513810177,32.33490178121908,13736.897617558345,4.0,-192.0,196.0,129.12268124425464,480.40172853572244,True,50788.88711397347,103.0,-556.0,659.0,130.50106993270606,6556.438231267441,True,79384.7912533382,127.0,-633.0,760.0,136.97622042098396,7815.329125654699,True,65741.2079373226,112.0,-596.0,708.0,132.23088766776277,7015.830681002677,True
308.2267948717288,685975.3345093988,4356172.448602073,3701.20831393655,127.6477059121396,30.09147097009796,30.92808118072317,13387.26325960009,4.0,-187.0,191.0,129.5656913297555,482.34543422984734,True,49594.262761394275,103.0,-559.0,662.0,130.95664998583766,6509.7700418799095,True,78366.7884757433,127.0,-637.0,764.0,136.218691534674,7757.359068878519,True,64656.09419098699,111.0,-597.0,708.0,132.75077880624372,6963.209427966754,True
318.20181188988164,685980.7272924312,4356180.8401964195,3699.8767350429575,128.0535711589066,30.41868779273025,30.583260296258263,13572.909246794476,4.0,-193.0,197.0,129.99816301612032,484.1961330651186,True,52053.484258889715,103.0,-542.0,645.0,131.31560859586466,6531.295799097374,True,79431.14536224132,126.0,-618.0,744.0,135.37248025915756,7781.002590147943,True,66337.54402870353,111.0,-583.0,694.0,132.1789418932765,6987.404954077044,True
328.1855534089235,685984.2018630995,4356190.199814648,3698.8319774171714,128.37201328324613,31.467329745133163,30.885744860334732,13918.235422444945,4.0,-205.0,209.0,130.4154354581201,485.38626140779706,True,55230.84229544577,101.0,-492.0,593.0,131.77908158839114,6482.999876047947,True,77950.3242001423,121.0,-570.0,691.0,162.01933805376314,7645.868781904879,True,67028.17661260671,108.0,-529.0,637.0,134.44989360931856,6915.426150828852,True
338.00195383001767,685985.7309639627,4356199.896389702,3699.384465629742,128.20361487605464,31.0075576816488,29.95870957150928,13336.647509436241,4.0,-192.0,196.0,130.14585139927112,484.4319375626601,True,51724.319529314846,101.0,-475.0,576.0,131.5359305509362,6474.466161751761,True,73304.05124683066,122.0,-549.0,671.0,147.21021866685464,7655.872674875549,True,62892.773847513694,109.0,-516.0,625.0,132.13998326237493,6912.03567189072,True
347.9856953488389,685985.6065433818,4356209.8793559065,3700.4637755192894,127.8746412217206,29.972859314874423,30.80923738987973,13346.988307918733,4.0,-190.0,194.0,129.87300238732814,483.17668727612204,True,50610.230552322595,103.0,-476.0,579.0,131.20942673931745,6543.631406237731,True,71798.69608570047,124.0,-544.0,668.0,138.79857321419456,7781.968785895115,True,61614.270029896936,111.0,-509.0,620.0,132.51420167881065,7000.4123266788965,True
357.9694368676615,685985.4821228008,4356219.862322111,3701.842121196544,127.45452145929335,29.218899793866676,32.37822099722131,13713.762770618452,4.0,-195.0,199.0,129.42456605744223,481.8031523998884,True,52014.93816831957,104.0,-478.0,582.0,130.88716726187795,6607.382864950178,True,73642.05378850923,126.0,-552.0,678.0,142.62410925482868,7877.558452591905,True,63201.96916059291,113.0,-514.0,627.0,132.24391505895278,7076.112320936692,True
367.9531783864827,685985.3577022199,4356229.845288315,3701.9425583557913,127.42390821315485,28.3992368008273,32.48925843790369,13996.743563031734,4.0,-200.0,204.0,129.18363149239553,481.8489885274198,True,53256.62343012265,106.0,-480.0,586.0,130.5045461362863,6706.119553042258,True,75310.0676945124,127.0,-555.0,682.0,147.03909044987995,8005.245893580088,True,64651.91795809008,114.0,-520.0,634.0,131.6570943311317,7186.676596754664,True
