site,E,N,z_floor_ft,acc_ha,valley_grade_tan,ux,uy,vx,vy,crest_ft,nwl_ft,H_max_m,abut_L,abut_R,dam_len_m,fill_cfrd_Mm3,fill_rcc_Mm3,gross_Mm3,water_acre,water_out_acre,spill,abut_in_parcel,eff_cfrd,head_m
14,686370.0,4356110.0,3749.325296975467,11.608,0.30300258304535344,-0.9982034669914623,0.05991526087921617,0.4472135954999579,-0.8944271909999159,3900.0,3880.0,45.9256494818776,110.0,66.0,176.0,0.298358342802836,0.09634150503108513,0.08868736861328141,1.7198534550114708,0.0,False,True,0.2972511771587652,451.10400000000004
14,686370.0,4356110.0,3749.325296975467,11.608,0.30300258304535344,-0.9982034669914623,0.05991526087921617,0.4472135954999579,-0.8944271909999159,3950.0,3930.0,61.16564948187761,138.0,92.0,230.0,0.6630316386910691,0.20708005349282285,0.24499544262207076,3.4397069100229416,0.0,False,True,0.36950792138023925,466.34400000000005
14,686370.0,4356110.0,3749.325296975467,11.608,0.30300258304535344,-0.9982034669914623,0.05991526087921617,0.4472135954999579,-0.8944271909999159,4000.0,3980.0,76.40564948187762,168.0,428.0,596.0,1.6113311891415478,0.5021251667761715,0.5292155870449229,5.90680703859112,0.0,False,False,0.3284337761294545,481.584
15,686378.0,4356078.0,3793.319725510535,10.4656,0.3329152799860898,-0.9998585349462691,0.016819931483231354,0.242535625036333,-0.970142500145332,3900.0,3880.0,32.51614766438888,92.0,52.0,144.0,0.12400844936523531,0.04152214007476989,0.022844495671875065,0.6839876959011136,0.0,False,True,0.18421725123416727,451.10400000000004
15,686378.0,4356078.0,3793.319725510535,10.4656,0.3329152799860898,-0.9998585349462691,0.016819931483231354,0.242535625036333,-0.970142500145332,3950.0,3930.0,47.75614766438889,124.0,74.0,198.0,0.3670433121755394,0.11614192210561412,0.10130850419140651,1.9452135629095255,0.0,False,True,0.276012396441528,466.34400000000005
15,686378.0,4356078.0,3793.319725510535,10.4656,0.3329152799860898,-0.9998585349462691,0.016819931483231354,0.242535625036333,-0.970142500145332,4000.0,3980.0,62.9961476643889,160.0,102.0,262.0,0.8047779202095499,0.24656832185211516,0.27915008099511784,3.9497324173711705,0.0,False,True,0.3468659787813663,481.584
17,686382.0,4356046.0,3833.467075239989,9.8096,0.3794617558009198,-0.9953329548342738,0.09650030580715072,0.1643989873053573,-0.9863939238321437,3950.0,3930.0,35.51923546685134,112.0,62.0,174.0,0.1611140121510369,0.051825759228867764,0.02877802129296886,0.8065519651088277,0.0,False,True,0.17861898483411112,466.34400000000005
17,686382.0,4356046.0,3833.467075239989,9.8096,0.3794617558009198,-0.9953329548342738,0.09650030580715072,0.1643989873053573,-0.9863939238321437,4000.0,3980.0,50.75923546685135,148.0,92.0,240.0,0.4751528192345031,0.14482628208296047,0.12194819932226603,2.3563969176708888,0.0,False,True,0.25665048040487515,481.584
20,686714.0,4356002.0,3964.5503526110797,9.5664,0.2841718818542707,-0.7682212795973759,-0.6401843996644799,0.6401843996644799,-0.7682212795973759,4100.0,4080.0,41.285052524142884,112.0,170.0,282.0,0.44065676112905905,0.14533959716850356,0.174169448923829,3.589946981954978,1.972889365633848,False,False,0.3952496915684868,512.0640000000001
23,686730.0,4355974.0,3990.7762016280844,9.008,0.2763702392578125,-0.9280320880927672,-0.3725002596914244,0.6,-0.8,4100.0,4080.0,33.291413743759904,112.0,88.0,200.0,0.2078693782582485,0.07034293842876235,0.0658716470449223,1.696131338390623,0.7709687901775558,False,False,0.3168896140300474,512.0640000000001
25,686526.0,4356482.0,3732.45440894989,8.832,0.12401696080218395,-0.8660254037844387,-0.5000000000000001,0.7071067811865476,-0.7071067811865476,3850.0,3830.0,35.827896152073436,412.0,140.0,552.0,2.510747464311611,0.794528503409386,2.9293816425537123,23.129063705326676,0.0,False,True,1.1667368718649211,435.86400000000003
25,686526.0,4356482.0,3732.45440894989,8.832,0.12401696080218395,-0.8660254037844387,-0.5000000000000001,0.7071067811865476,-0.7071067811865476,3900.0,3880.0,51.067896152073445,438.0,296.0,734.0,3.9594341827207273,1.245532756877984,4.684896207285159,34.041237350916695,0.0,False,False,1.1832236605246285,451.10400000000004
